board,noise,variant,precision,recall,F1,Pratt FOM,time (ms)
01,gaussian s=25,5 + morphological repair,0.9627865168539326,0.8609867797973507,0.9090455094396251,0.4108426811722495,15.127999999094754
01,gaussian s=25,6 Proposed (+ noise-adaptive filter),0.975618073316283,0.8611943590342376,0.9148422196126541,0.4360214765704849,28.5563999786973
01,gaussian s=25,7 Proposed with Sobel + Otsu,0.9849634378246976,0.8417078581714864,0.9077182823705816,0.6360591344732521,28.282599989324808
01,salt & pepper 1%,1 Baseline (Gaussian + fixed Canny),0.5307727980390209,0.9221188650605223,0.6737399939216344,0.4492742258211496,4.589600022882223
01,salt & pepper 1%,2 + intensity-Otsu thresholds,0.42465850045846754,0.9731055151208501,0.5912836848469222,0.47240250671948014,4.563199996482581
01,salt & pepper 1%,3 + gradient-domain thresholds,0.42401881284463183,0.9774127842862518,0.5914543518223772,0.4721291212471102,9.701900009531528
01,salt & pepper 1%,4 + noise-scaled threshold floor,0.42401881284463183,0.9774127842862518,0.5914543518223772,0.4721291212471102,9.087400045245886
01,salt & pepper 1%,5 + morphological repair,0.5218620630788272,0.9710167490496763,0.6788719885717571,0.5618207792747755,19.41329997498542
01,salt & pepper 1%,6 Proposed (+ noise-adaptive filter),0.5856691982879131,0.9562267284214896,0.7264206769276144,0.5588491457432126,23.198200040496886
01,salt & pepper 1%,7 Proposed with Sobel + Otsu,0.6355042691147205,0.9471970316169125,0.7606587004219649,0.654497892600399,31.027099990751594
01,salt & pepper 5%,1 Baseline (Gaussian + fixed Canny),0.3993465884585526,0.9470024260823311,0.5617892300339595,0.44734007000285225,4.14400000590831
01,salt & pepper 5%,2 + intensity-Otsu thresholds,0.266234299318611,0.986234901853942,0.4192830575200214,0.3173065103415876,5.1157999550923705
01,salt & pepper 5%,3 + gradient-domain thresholds,0.2660981453879969,0.9872209032291545,0.41920315777118117,0.317215651660013,8.822600007988513
01,salt & pepper 5%,4 + noise-scaled threshold floor,0.42397449777456997,0.9410345230218348,0.5845743628184017,0.47019285834049807,9.533600008580834
01,salt & pepper 5%,5 + morphological repair,0.4548443832683337,0.9367142801541276,0.6123482110448385,0.4976200762404388,17.55109999794513
01,salt & pepper 5%,6 Proposed (+ noise-adaptive filter),0.6314938030006523,0.741135717899817,0.6819358113894315,0.3239590613943505,35.32470000209287
01,salt & pepper 5%,7 Proposed with Sobel + Otsu,0.6001782547242003,0.8794353844756678,0.7134538101213245,0.6206504861812142,42.405800020787865
01,speckle s=0.15,1 Baseline (Gaussian + fixed Canny),0.6368734810875932,0.9230918927334293,0.753725380004908,0.4204105358665164,5.196199985221028
01,speckle s=0.15,2 + intensity-Otsu thresholds,0.5417393199651264,0.9736374369153725,0.696140653566481,0.4886925135655851,5.296899995300919
01,speckle s=0.15,3 + gradient-domain thresholds,0.5421581066052661,0.9719897767225834,0.6960642917247852,0.4861147955637458,9.195399994496256
01,speckle s=0.15,4 + noise-scaled threshold floor,0.5421581066052661,0.9719897767225834,0.6960642917247852,0.4861147955637458,8.717300021089613
01,speckle s=0.15,5 + morphological repair,0.6013799571275456,0.9692263781315273,0.7422271318311966,0.6150252969756855,14.267599966842681
01,speckle s=0.15,6 Proposed (+ noise-adaptive filter),0.6132357449417535,0.9735336472969291,0.7524793890607044,0.6443944626075226,20.18990000942722
01,speckle s=0.15,7 Proposed with Sobel + Otsu,0.9615823599407465,0.955110990023223,0.9583357502744383,0.9402582298328568,28.172100021038204
04,clean,1 Baseline (Gaussian + fixed Canny),0.3414019774239608,0.784829296795812,0.47582105025803173,0.34180678186165037,5.4768999689258635
04,clean,2 + intensity-Otsu thresholds,0.3382542755727654,0.882898675157109,0.48911850328154993,0.3825398503557763,7.603799982462078
04,clean,3 + gradient-domain thresholds,0.3579766110099392,0.9246950237899331,0.5161401902923071,0.4002980777090372,11.779099993873388
04,clean,4 + noise-scaled threshold floor,0.3579766110099392,0.9246950237899331,0.5161401902923071,0.4002980777090372,12.749999994412065
04,clean,5 + morphological repair,0.3881839365848198,0.9077141392098642,0.54380827386615,0.42660358381557184,26.955400011502206
04,clean,6 Proposed (+ noise-adaptive filter),0.4275139189745609,0.9370490943130731,0.5871499178571136,0.46402965939355306,36.48020001128316
04,clean,7 Proposed with Sobel + Otsu,0.4421025940107006,0.9615068150109112,0.6057022051050465,0.4690003985324418,45.409200014546514
04,gaussian s=10,1 Baseline (Gaussian + fixed Canny),0.3710788719133821,0.8069974600221801,0.5083876128976929,0.3471575947854062,5.632899992633611
04,gaussian s=10,2 + intensity-Otsu thresholds,0.34368007995729555,0.8943822368499506,0.4965523213171701,0.3864335264983276,7.456800027284771
04,gaussian s=10,3 + gradient-domain thresholds,0.3538117070050112,0.9258755768611598,0.5119776096138111,0.39889296230000815,12.451300048269331
04,gaussian s=10,4 + noise-scaled threshold floor,0.35333649153345303,0.915775289473998,0.5099264425059735,0.39583970869202256,11.531399970408529
04,gaussian s=10,5 + morphological repair,0.3810321750058751,0.9032781216088911,0.5359733208073698,0.4197880250282377,26.801100000739098
04,gaussian s=10,6 Proposed (+ noise-adaptive filter),0.3773271242268733,0.8984843606530009,0.5314617778345817,0.41647805273077904,36.31409996887669
